name,category,contraindications,description,drugInteractions,duration,effects,id,intensity,legalStatus,mechanismOfAction,onset,pharmacokinetics,preparation,region,scientificName,sideEffects,tags,therapeuticUses,toxicity,toxicityLD50,activeConstituents,affiliateLink,slug,compounds,sources,needsReview,image,safetyRating,dosage,commonNames,activeCompounds,traditionalUse
"African Dream Root","Oneirogen","None well established","A sacred dream-enhancing root used by the Xhosa people of South Africa to induce powerful and meaningful dreams.","Unknown","During REM sleep","Vivid dreams;lucidity;spiritual connection","african-dream-root","Mild to moderate","Legal","Likely saponins and triterpenoids affecting sleep cycles","During sleep","Onset: Sleep onset; Duration: dream state","Root is soaked and whipped into a frothy tea","South Africa","Silene capensis","Mild nausea or grogginess if overdosed","✅ safe;🌙 dream;🧘 ancestral","Dream recall, ancestral communication (traditional)","Low","Not established",,"","african-dream-root",,"https://erowid.org/plants/silene_capensis/;Dreaming Plant Guide – Ratsch;Journal of Ethnopharmacology, 2008","false","https://upload.wikimedia.org/wikipedia/commons/f/fa/Silene_capensis_plant.jpg",,,,,
"Albizia julibrissin","Calming / Mood","None known, though caution with sedatives","Often called Persian silk tree; valued in Asian herbalism for its tranquil and mood-brightening properties.","May enhance other sedatives or antidepressants","3–5 h","uplifted mood;relaxation;mild sedation","albizia-julibrissin","Mild","Legal","Contains saponins and flavonoids thought to modulate serotonin and GABA","30–60 min","Onset 30–60 min orally; effects last 3–5 h","Dried bark or flowers taken as teas or tinctures","Native to Asia, cultivated elsewhere","Albizia julibrissin","Rare drowsiness in sensitive individuals","tcm;anxiolytic;flower","Traditional Chinese medicine uses the bark and flowers as a calming antidepressant","Low","Not well established",,"","albizia-julibrissin",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6834330/;Chinese Herbal Medicine: Materia Medica, 3rd ed.;Journal of Ethnopharmacology, 2009","false",,,,,,
"Alchornea castaneifolia","Ritual / Visionary","Pregnancy","Used in Amazonian shamanic rituals for its spiritual and anti-inflammatory effects. Often included in Ayahuasca blends.","Unknown","2–6 hrs","Anti-inflammatory;spiritual clarity;energetic cleansing","alchornea-castaneifolia","Mild","Legal","Unknown; may involve tannins and flavonoids","30–60 min","Onset: 30–60 min; Duration: 2–6 hrs","Bark decoction or infused in Ayahuasca","Amazon basin","Alchornea castaneifolia","Minimal; bitter taste","✅ safe;🌿 amazon;🧘 cleanse","Rheumatism, arthritis, spiritual cleansing","Low","Not established",,"","alchornea-castaneifolia",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4127826/;Rainforest Healing Herb Profiles;Journal of Ethnopharmacology, 2007","false",,,,"Iporuru","Alchorneine","Used in traditional Amazonian medicine for arthritis and pain."
"Aloysia citrodora","Ethnobotanical",,"Lemon Verbena, a gentle herbal tea with calming and mood-lifting effects.",,,"calm;relaxation;light euphoria","aloysia-citrodora",,"Unknown","GABAergic + serotonergic",,,,"South America","Aloysia citrodora",,"tea;folk remedy;calming",,,,,,"aloysia-citrodora","Citral;Verbascoside",,"false",,,,,,
"Alpinia galanga","Stimulant","Gastric ulcers, anticoagulant medication","A common culinary spice known as galangal that offers gentle stimulation and a warming effect.","May alter absorption of other stimulants or anticoagulants","2–4 h","warm stimulation;mild euphoria;enhanced circulation","alpinia-galanga","Mild","Legal","Contains eugenol and cineole that increase circulation and mild CNS stimulation","20–40 min","Onset 20–40 min, duration 2–4 h","Rhizome chewed fresh, powdered in capsules, or brewed as tea","Indonesia, Thailand, Malaysia","Alpinia galanga","Heartburn or mild agitation at high doses","aromatic;galangal;spice","Used in Southeast Asian medicine for digestion and fatigue","Generally safe as a culinary spice",">3 g/kg in rodents",,"","alpinia-galanga",,"https://pubmed.ncbi.nlm.nih.gov/20428007/;Phytomedicine. 2005;Ayurvedic Materia Medica","false",,,,,,
"Marshmallow Root","Demulcent / Soothing / Respiratory","Take medications 1–2 hrs apart. Avoid if allergic to other mucilaginous herbs.","A classic mucilaginous herb known for its thick, slippery root extract. Marshmallow has been used for centuries to coat and soothe mucous membranes, especially in the respiratory and digestive tracts.","May delay absorption of oral drugs.",,"Soothes throat;Eases cough;Reduces inflammation;Digestive calm","althaea-officinalis","Mild","Legal worldwide","High mucilage content coats inflamed tissues, reducing irritation and inflammation. Also mildly antibacterial and immunomodulatory.","20–40 min","Best in cold water infusions. Onset within 30 min, duration several hours depending on application.","Cold infusion, syrup, powder, or tincture. Also used in lozenges and teas.","Europe, Middle East, North America","Althaea officinalis","Very rare. May slow absorption of medications if taken simultaneously.","🫖 Soothing;🫁 Throat;🩹 Demulcent;🌿 Digestive","Used for sore throat, dry cough, GERD, stomach ulcers, and irritated urinary tract. Also applied externally to wounds.","Extremely low.",">5000 mg/kg (rats, oral)",,,"althaea-officinalis",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5452227/;British Herbal Compendium;Herbal Medicine – Mills & Bone","false",,,,,,
"Amanita muscaria","Ritual / Visionary","Avoid with sedatives or psychiatric conditions.","Iconic red-capped mushroom used in Siberian shamanism and folklore. Psychoactive when properly prepared.","Potentiates sedatives and alcohol","4–8 hrs","Euphoria;dissociation;dreamlike state","Unknown","Moderate to strong","Legal in most countries","Ibotenic acid and muscimol act as GABA agonists and NMDA antagonists after decarboxylation.","30–90 min","Onset 30–90 min; duration 4–8 hrs when ingested.","Traditionally dried or parboiled to convert ibotenic acid to muscimol.","Northern Hemisphere, boreal forests","Amanita muscaria","Nausea, ataxia, delirium","⚠️ caution;🍄 mushroom","Shamanic ritual, historical analgesic and sedative use.","Can cause nausea, delirium, or poisoning if dose is high or raw mushrooms consumed.","LD50 ~38 mg/kg (muscimol, mice)",,"","amanita-muscaria","Muscimol;Ibotenic Acid","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10454585/;Erowid Amanita Vault;Journal of Ethnopharmacology, 2008;Toxicological Profile: Muscimol & Ibotenic Acid (NIH)","false",,,,,,
"Amanita pantherina","Deliriant / Sedative","Mental illness, combining with other depressants","Unknown","Enhances effects of alcohol and sedatives","6–8 h","sedation;confusion;dizziness","Unknown","Strong","Varies; unscheduled in many countries","Contains muscimol and ibotenic acid acting on GABA receptors","30–90 min","Onset 30–90 min orally; duration 6–8 h","Caps or dried material ingested carefully","Northern Hemisphere","Amanita pantherina","Nausea, loss of coordination, delirium","muscimol;mushroom;panther cap","Traditional Siberian shamanic use; rarely employed medically","Potentially toxic at high doses","Not well established",,"","amanita-pantherina",,,,,,,,,
"American Ginseng","Empathogen / Euphoriant","Hypertension","North American species prized for restorative effects.","Stimulants, anticoagulants","4–6 hrs","calm energy","panax-quinquefolius","Unknown","Legal","Similar ginsenosides modulate neurotransmitters","30–60 min","Similar to Panax ginseng","Chewed root or tea","North America","Panax quinquefolius","Headache, insomnia","🌿 root;💊 oral","Energy, stress relief","Low",">2000 mg/kg (rats)","[object Object]","https://www.amazon.com/s?k=american+ginseng","american-ginseng",,,,,,"1–3 g dried root",,,
"Amorpha fruticosa","Ethnobotanical",,"False Indigo Bush, native to North America, was historically smoked for relaxation and vision-induction.",,,"relaxation;mental softening;trance","amorpha-fruticosa",,"Unknown","Likely GABAergic",,,,"North America","Amorpha fruticosa",,"folk;smokable;visionary",,,,,,"amorpha-fruticosa","Amorphigenin",,"false",,,,,,
"Anadenanthera colubrina","Psychedelic / Entheogen","Avoid if prone to heart issues, anxiety, asthma, or psychiatric disorders.","A South American tree whose seeds are used to make Yopo, a potent psychoactive snuff. Used ritually by Indigenous tribes for divination and healing.","Dangerous with MAOIs. May cause serotonin overload when mixed with SSRIs or other psychedelics.",,"Visual hallucinations;Disorientation;Euphoria;Auditory shifts;Dissociation","anadenanthera-colubrina","High","Bufotenine is Schedule I in the USA. Tree/seeds legal in some regions.","Contains bufotenine (5-HO-DMT), DMT, and 5-MeO-DMT. Acts as a serotonergic agonist (5-HT2A, 5-HT1A), with bufotenine producing strong visual and somatic effects when insufflated.","2–5 min (snuffed)","Active via nasal insufflation; bufotenine poorly absorbed orally. Effects last ~30–90 minutes. Onset within 2–5 minutes when snuffed.","Roasted and ground seeds mixed with ash or lime, then snuffed. Oral use is less effective and may be dangerous.","Amazon Basin, Andean regions of Peru, Brazil, Colombia, Venezuela","Anadenanthera colubrina","Strong bodily discomfort, intense visual distortions, nausea, cardiovascular strain, and panic are common.","🌿 Entheogen;🌬️ Snuff;🌀 Yopo;⛔ MAOI warning","Used traditionally for cleansing, communication with spirits, and insight. No clinical approval.","High doses of bufotenine can cause respiratory distress. Seeds contain toxic compounds if improperly prepared.","Bufotenine: ~200–300 mg/kg (mice, oral)",,,"anadenanthera-colubrina","Bufotenine","https://erowid.org/plants/anadenanthera/;PubMed ID: 12065154;Journal of Ethnopharmacology, 1994;TiHKAL by Alexander Shulgin","false",,,,,,
"Anadenanthera colubrina (Cebíl)","Ethnobotanical / Rare","Cardiovascular disorders, psychiatric conditions, and pregnancy.","South American tree whose snuffable seeds contain bufotenin.","Concomitant use with SSRIs or MAOIs may risk serotonin syndrome [1, 0].",,"Entheogenic snuff;alternate reality feel","anadenanthera-colubrina-cebl","High","Restricted in many regions","Bufotenin acts as a potent and non-selective serotonin receptor agonist at 5-HT₁A, 5-HT₂A, 5-HT₂C, and 5-HT₃ receptors, and serves as a specific serotonin releasing agent [1, 0].","Varies","When insufflated, bufotenin is rapidly absorbed nasally with onset in 5–15 min and duration around 1–2 h [1, 1].","South American use","🌎 Unknown / Global","","Prominent cardiovascular changes, nausea, vomiting, and dizziness [1, 0, 1, 1].","\u26a0\ufe0f Restricted","Traditionally used as a snuff for visionary and divinatory rituals in South American cultures [1, 1].","No documented human LD50; rodent LD50 approximately 200–300 mg/kg (intraperitoneal) [1, 0].","No documented human LD50; rodent LD50 approximately 200–300 mg/kg (intraperitoneal) [1, 0].",,,"anadenanthera-colubrina-ceb-l",,,,,"1",,,,
"Anadenanthera colubrina (Cebíl)","Ethnobotanical / Rare","Cardiovascular disorders, psychiatric conditions, and pregnancy.","South American tree whose snuffable seeds contain bufotenin.","Concomitant use with SSRIs or MAOIs may risk serotonin syndrome [1, 0].","Unknown","Entheogenic snuff;alternate reality feel","anadenanthera-colubrina-cebl","High","Restricted in many regions","Bufotenin acts as a potent and non-selective serotonin receptor agonist at 5-HT₁A, 5-HT₂A, 5-HT₂C, and 5-HT₃ receptors, and serves as a specific serotonin releasing agent [1, 0].","Varies","When insufflated, bufotenin is rapidly absorbed nasally with onset in 5–15 min and duration around 1–2 h [1, 1].","South American use","🌎 Unknown / Global","Unknown","Prominent cardiovascular changes, nausea, vomiting, and dizziness [1, 0, 1, 1].","⚠️ restricted","Traditionally used as a snuff for visionary and divinatory rituals in South American cultures [1, 1].","No documented human LD50; rodent LD50 approximately 200–300 mg/kg (intraperitoneal) [1, 0].","No documented human LD50; rodent LD50 approximately 200–300 mg/kg (intraperitoneal) [1, 0].",,"","anadenanthera-colubrina-cebíl",,,,,,,,,
"Anadenanthera peregrina","Psychedelic / Entheogen","Avoid with heart conditions, asthma, or psychiatric disorders. Not for individuals with seizure history.","Closely related to A. colubrina, this species is the primary source of cohoba snuff used by Taino and other Caribbean-Amazonian tribes. Extremely potent and short-acting.","Unsafe with MAOIs, SSRIs, or other tryptamines. Potential for serotonin syndrome.",,"Intense visuals;Out-of-body experience;Altered time perception;Spiritual insight","anadenanthera-peregrina","Very high","Bufotenine is Schedule I in the U.S.; plant materials legal in some countries.","Bufotenine (5-HO-DMT) is the dominant active; acts on 5-HT2A and 5-HT1A receptors. May also contain trace DMT and 5-MeO-DMT. Insufflated use bypasses first-pass metabolism.","1–3 min (nasal)","Rapid onset (1–3 minutes) when snuffed. Effects peak within 10–15 minutes and fade after 45–60 minutes. Poor oral bioavailability.","Seeds are roasted, ground, and mixed with alkaline ash or lime. The powder is blown into the nose using a tube.","Venezuela, Brazil, Caribbean, northern South America","Anadenanthera peregrina","Coughing, burning in nose/throat, vomiting, disorientation. Can be frightening or overwhelming.","🌬️ Snuff;🌀 Visionary;🔥 Roasted seed;⛔ Controlled","Traditionally used for healing, communication with spirits, and divination. No modern clinical uses.","Potentially toxic in high doses; bufotenine linked to pulmonary effects and vasoconstriction.","Bufotenine: 200–300 mg/kg (mice, oral)",,,"anadenanthera-peregrina","Bufotenine","https://erowid.org/plants/anadenanthera_peregrina/;Ratsch: The Encyclopedia of Psychoactive Plants;Journal of Psychoactive Drugs, 1986","false",,,,,,
"Anemone pulsatilla","Sedative / Analgesic","Pregnancy, open wounds, large doses","Also called Pasque Flower; once used by herbalists for calming nerves and relieving pain.","May potentiate other sedatives or analgesics","2–4 h","calm;pain relief;mild altered awareness","anemone-pulsatilla","Mild","Legal but not widely sold","Contains lactones derived from protoanemonin that depress the central nervous system","20–30 min","Onset 20–30 min, lasting 2–4 h when taken orally","Only dried aerial parts are infused as tea","Europe and western Asia","Pulsatilla vulgaris","Nausea, stomach irritation if taken fresh","anodyne;folk;sedative","European folk remedy for anxiety, insomnia and menstrual pain","Fresh plant is irritant and toxic until dried","Not well established",,"","anemone-pulsatilla",,,,,,,,,
"Aquilaria malaccensis","Calming / Aromatic","Respiratory issues when inhaled heavily","Source of precious agarwood resin, producing a soothing aroma and subtle psychoactive calm when burned.","Unknown; likely minimal","1–2 h","tranquil mind;subtle euphoria;aromatic relaxation","aquilaria-malaccensis","Mild","Cultivation regulated due to overharvesting but use is legal","Resin rich in sesquiterpenes acts via GABAergic and dopaminergic pathways when inhaled","Within minutes when inhaled","Effects appear within minutes when smoked or heated, lasting 1–2 h","Resinous wood chips burned as incense or ground and smoked","Southeast Asia","Aquilaria malaccensis","Mild headache if smoke inhaled in excess","agarwood;incense;sedative","Used in traditional Asian medicine and incense for calming and meditation","Considered safe in incense amounts","Not established",,"","aquilaria-malaccensis",,,,,,,,,
"Uva Ursi","Urinary / Antiseptic / Astringent","Avoid during pregnancy, in children, or for long-term use. Not with kidney disease.","A low-growing evergreen shrub used traditionally for urinary tract infections and kidney health. Its leaves contain arbutin, which converts to hydroquinone in the bladder and acts as a urinary antiseptic.","May interact with diuretics, NSAIDs, or acidic drugs. Requires alkaline urine for efficacy.",,"Urinary tract support;Astringent;Anti-inflammatory;Antibacterial","arctostaphylos-uva-ursi","Mild–Moderate","Legal worldwide","Arbutin is hydrolyzed into hydroquinone in the urinary tract, which exerts antimicrobial activity. Tannins also provide astringent effects to mucous membranes.","1–2 hrs","Arbutin is absorbed, metabolized by the liver, and excreted into the urine. Onset ~1–2 hrs. Duration varies.","Leaves steeped in tea (cold or warm), capsules, or tincture. Often combined with corn silk or marshmallow.","Northern Hemisphere (cool climates)","Arctostaphylos uva-ursi","Mild nausea or GI discomfort. Prolonged use may irritate the liver or kidneys due to hydroquinone.","🧴 Antiseptic;🧽 Astringent;🧠 Urinary;🌿 Traditional","Used for cystitis, urethritis, bladder infections, and general urinary tract irritation. Often used in short-term protocols.","Low to moderate. Hydroquinone may be toxic in high doses or long-term use.","Hydroquinone ~300 mg/kg (rat, oral)",,,"arctostaphylos-uva-ursi",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204622/;Herbal Medicine – Mills & Bone;ESCOP Monographs","false",,,,,,
"Argemone mexicana","Sedative / Analgesic","Liver disorders, pregnancy, high doses","Spiny yellow poppy whose milky latex was historically used for pain relief and sedation.","Avoid combining with alcohol or other depressants","3–6 h","relaxation;analgesia;slight euphoria","argemone-mexicana","Moderate","Legal but sometimes regulated due to toxicity","Isoquinoline alkaloids interact with opioid and dopamine receptors","20–30 min","Onset 20–30 min orally, lasting 3–6 h","Dried leaves or latex smoked or brewed sparingly","Native to tropical America; naturalized worldwide","Argemone mexicana","Headache, stomach upset, potential liver damage","alkaloid;folk medicine;poppy","Mexican and Ayurvedic traditions use it for pain, insomnia and mild narcotic effects","Seeds and latex can be hepatotoxic in high doses","Not well quantified",,"","argemone-mexicana",,,,,,,,,
"Argyreia nervosa","Psychedelic / Ergolines","Not recommended for people with cardiovascular, liver, or psychiatric conditions. Avoid during pregnancy.","A climbing vine native to India and widely cultivated in Hawaii. Its seeds contain LSA (lysergic acid amide), a naturally occurring psychedelic related to LSD.","Avoid combining with stimulants, MAOIs, SSRIs, or vasoconstrictive drugs.",,"Euphoria;Time distortion;Closed-eye visuals;Body heaviness;Drowsiness","argyreia-nervosa","Moderate","Legal to possess in most countries; LSA may be restricted.","LSA (ergine) is a serotonergic compound acting primarily as a partial agonist at 5-HT2A receptors, similar to LSD but with more sedative effects.","30–90 min (oral)","Orally active. Effects begin within 30–90 minutes and can last 6–10 hours. Seeds may cause nausea due to outer coatings or other alkaloids.","Seeds are scraped, crushed, and soaked in water or ethanol. Some users perform cold water extractions to reduce nausea.","India, Hawaii, tropical regions","Argyreia nervosa","Strong nausea, vasoconstriction, lethargy, and confusion are common. May cause dizziness and chills.","🌱 Seed;🌀 LSA;🌙 Sedative-psychedelic","Historically used in Ayurveda for nervine and aphrodisiac properties. Psychedelic use is experimental only.","Mild to moderate; effects mostly unpleasant rather than dangerous. Improper preparation increases risk.","Unknown (ergine considered relatively low in acute toxicity)",,,"argyreia-nervosa",,"https://erowid.org/plants/hbw/;TiHKAL by Alexander Shulgin;Journal of Ethnopharmacology, 1996","false",,,,"Hawaiian baby woodrose","LSA (lysergic acid amide)","Used in Ayurvedic and Polynesian traditions for mind-opening."
"Argyreia speciosa","Ritual / Visionary","Pregnancy, mental health disorders","Close relative of Hawaiian Baby Woodrose with LSA‑containing seeds used in some Indian traditions.","Avoid with other serotonergic agents","6–8 h","closed-eye visuals;euphoria;enhanced introspection","argyreia-speciosa","Moderate to Strong","Seeds legal though extraction of LSA may be restricted","Seeds contain lysergic acid amide (LSA) acting on serotonin receptors","1–2 h","Onset 1–2 h orally, duration 6–8 h","Seeds ground and ingested after cold‑water extraction","India and Southeast Asia","Argyreia speciosa","Nausea, vasoconstriction, drowsiness","indian morning glory;lsa;seeds","Occasionally used in Ayurveda as a tonic and for spiritual rituals","Nausea common; large doses may be hepatotoxic","Not established",,"","argyreia-speciosa",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3880486/;Ayurvedic Pharmacopoeia of India;Journal of Ethnopharmacology, 2001","false",,,,,,
"Artemisia abrotanum","Ethnobotanical",,"Southernwood is a fragrant herb used traditionally as a stimulant, memory aid, and dream enhancer.",,,"mental clarity;dream enhancement;stimulant","artemisia-abrotanum",,"Unknown","GABAergic + cholinergic modulation",,,,"Mediterranean, Europe","Artemisia abrotanum",,"aromatic;folk remedy;uplifting",,,,,,"artemisia-abrotanum","Camphor;Thujone",,"false",,,,,,
