Name,Scientificname,Region,Description,Effects,Mechanismofaction,Therapeuticuses,Sideeffects,Contraindications,Druginteractions,Toxicity,Legalstatus,Preparation,Onset,Intensity,Sources,Activecompounds,name_norm
Aloe vera,Aloe vera (L.) Burm.f.,"Africa, cultivated globally",Succulent plant with gel used topically and internally for skin and GI health.,"Anti-inflammatory, laxative (latex), wound healing",Polysaccharides modulate inflammation and skin regeneration,"Burns, wounds, constipation (latex), ulcers","Skin irritation (topical), cramping, diarrhea (latex)","Pregnancy, bowel obstruction","Laxatives, diabetes meds",Moderate (latex component),Legal (with some restrictions),"Gel, juice, capsules",Topical: immediate; Oral: 1–3 hours,Mild to strong (laxative),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2763764/,"Aloin, acemannan, emodin",aloe vera
Althaea officinalis,Althaea officinalis L.,"Europe, Western Asia",Marshmallow root; mucilaginous herb traditionally used for throat and GI conditions.,"Demulcent, anti-inflammatory, soothing","Mucilage coats mucous membranes, reducing irritation","Coughs, sore throat, ulcers, GI inflammation",Generally safe,May interfere with absorption of medications,Oral drugs (timing interaction),Low,Legal,"Cold infusion, syrup, tincture",30–60 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6334261/,"Mucilage, flavonoids, phenolic acids",althaea officinalis
Alyxia stellata,Alyxia stellata (J.R.Forst. & G.Forst.) Roem. & Schult.,Polynesia (Hawaiʻi),"Fragrant vine known as Maile in Hawaiian culture, used in leis and for calming and ritual purposes.","Relaxation, emotional balance, mild psychoactive",Possibly contains indole alkaloids; limited pharmacology,"Mood enhancement, spiritual grounding",Unknown,Unknown due to limited research,Unknown,Presumed low,Legal,"Aromatic use, infusion (rare)",Unknown,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6177451/,"Essential oils, possible alkaloids",alyxia stellata
Amanita muscaria,Amanita muscaria (L.) Lam.,Northern Hemisphere,Iconic red-capped mushroom used shamanically in Siberia and northern traditions.,"Delirium, dissociation, CNS alternation",Muscimol and ibotenic acid modulate GABA and NMDA receptors,"Ritual trance, pain relief (ethnobotanic)","Nausea, delirium, ataxia","Psychosis, epilepsy","CNS depressants, alcohol",Moderate to high,Legal in many countries,Dried and decarboxylated cap,30–120 minutes,Strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8690352/,"Muscimol, ibotenic acid",amanita muscaria
Amorpha fruticosa,Amorpha fruticosa L.,North America,False indigo bush; used in traditional and ethnomedicine for skin and insecticidal use.,"Antioxidant, insecticidal, antifungal",Rotenoids interfere with mitochondrial electron transport,"Topical antifungal, antiparasitic (experimental)",Not well studied,Limited safety data,Unknown,Moderate (rotenone content),Legal,"Topical extract, decoction",Unknown,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8838336/,"Rotenone, amorphigenin, flavonoids",amorpha fruticosa
Amphipterygium adstringens,Amphipterygium adstringens (Schltdl.) Schiede ex Standl.,"Mexico (Chiapas, Oaxaca)","Used in indigenous Mexican medicine and rituals for anti-inflammatory, mystical, and protective purposes.","Grounding, cleansing, possibly mildly entheogenic","Saponins, flavonoids affect immune and stress pathways","Gastric ulcers, inflammation, cancer adjuvant",Mild GI upset (rare),"Pregnancy, autoimmune diseases",Immunosuppressants,Low,Legal,Root bark decoction or powder,30–60 min,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8096566/,"Saponins, tannins, flavonoids",amphipterygium adstringens
Anadenanthera colubrina,Anadenanthera colubrina (Vell.) Brenan,"South America (Andes, Amazon)",Seeds used in yopo snuff by indigenous tribes; powerful entheogen.,"Strong hallucinations, spiritual visions, altered time",Bufotenin and DMT bind to 5-HT2A receptors,"Ritual healing, trauma processing","Nausea, strong body load, confusion","Mental health issues, heart problems","MAOIs, serotonergics",Moderate to high,Restricted in many countries,Roasted seed snuff (yopo),1–10 minutes (snuffed),Strong to extreme,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017827/,"Bufotenin, DMT, 5-MeO-DMT",anadenanthera colubrina
Anadenanthera peregrina,Anadenanthera peregrina (L.) Speg.,"South America (Brazil, Venezuela, Caribbean)","Tree whose seeds are used to produce the powerful psychoactive snuff yopo, traditionally used by shamans.","Intense hallucinations, euphoria, disorientation","Tryptamine alkaloids (DMT, bufotenine) act as serotonin receptor agonists","Shamanic ritual, spiritual insight (not clinical)","Nausea, vomiting, anxiety, tachycardia","Heart conditions, mental health disorders","MAOIs, serotonergic drugs",Moderate to high in large doses,Restricted or controlled in some countries,Roasted seeds powdered into snuff (yopo); insufflation,1–5 minutes,Strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5034791/,"Bufotenine, DMT, 5-MeO-DMT",anadenanthera peregrina
Anemone pulsatilla,Pulsatilla vulgaris Mill.,"Europe, temperate Asia","Pasque flower; historically used as sedative and antispasmodic, now limited due to toxicity.","Sedative, antispasmodic",Iridoid glycosides modulate CNS function (toxic in excess),"Menstrual pain, anxiety (historical use)","Toxic in raw form: vomiting, paralysis","Pregnancy, liver/kidney disease",CNS depressants,High in raw form,Restricted in some jurisdictions,Homeopathic dilutions only,20–60 minutes (in dilution),Mild (homeopathic); strong (raw/toxic),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7036847/,"Protoanemonin, ranunculin",anemone pulsatilla
Angelica archangelica,Angelica archangelica L.,"Europe, Western Asia",Archangelica root; aromatic bitter used as carminative and tonic.,"Digestive stimulant, antispasmodic, carminative",Essential oils and coumarins modulate smooth muscle and increase GI secretion,"Bloating, poor digestion, anxiety",Photosensitivity (coumarins),"Pregnancy, anticoagulant therapy","Warfarin, sun-sensitizing drugs",Low to moderate,Legal,"Tincture, tea, extract",20–40 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6270214/,"Furanocoumarins, angelic acid, essential oils",angelica archangelica
Angelica sinensis,Angelica sinensis (Oliv.) Diels,"China, East Asia",Dong Quai; major traditional Chinese herb for blood and hormonal health.,"Estrogenic, blood tonic, anti-inflammatory",Ligustilide and ferulic acid modulate NO and hormonal pathways,"Menstrual disorders, fatigue, inflammation","Photosensitivity, diarrhea","Pregnancy, hormone-sensitive conditions","Anticoagulants, hormonal drugs",Moderate (long-term use caution),Legal (regulated in some regions),"Powder, decoction, capsule",1–2 days (chronic use),Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5871149/,"Ligustilide, ferulic acid, polysaccharides",angelica sinensis
Anisomeles indica,Anisomeles indica (L.) Kuntze,"India, Southeast Asia, China","Indian catmint; used traditionally for fever, inflammation, and respiratory support.","Antipyretic, anti-inflammatory, antimicrobial",Diterpenes and flavonoids inhibit inflammatory mediators,"Fever, sore throat, skin infection",Rare allergic reactions,Pregnancy,Unknown,Low,Legal,"Infusion, decoction, tincture",30–60 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7651962/,"Anisomelic acid, flavonoids, essential oils",anisomeles indica
Anisoptera thurifera,Anisoptera thurifera (Blanco) Blume,"Philippines, Southeast Asia",Tree resin traditionally burned as incense; psychoactive reports are anecdotal.,"Tranquility, mild sedation, altered perception (inhaled)",Volatile oils may influence limbic and olfactory neural circuits,"Anxiety, spiritual ritual",Irritation from smoke,"Asthma, respiratory illness",Unknown,Presumed low,Legal,Burned as incense,Immediate (inhaled),Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10349800/,"Resin acids, essential oils",anisoptera thurifera
Annona muricata,Annona muricata L.,"Tropical Americas, Caribbean, Southeast Asia","Soursop; fruit and leaves used traditionally for anti-cancer, antiparasitic, and sedative effects.","Antitumor, antiparasitic, sedative",Acetogenins inhibit mitochondrial function in tumor cells,"Cancer (adjunct), pain, parasitic infections",Neurotoxicity with excessive use,"Parkinson’s, pregnancy","MAO inhibitors, sedatives",Moderate to high (long-term use risk),Legal but controversial,"Tea, extract, juice",1–2 hours,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6492277/,"Acetogenins, annonacin",annona muricata
Apium graveolens,Apium graveolens L.,"Mediterranean, global cultivation",Celery; seeds and stalk used medicinally and in culinary contexts.,"Diuretic, anti-inflammatory, carminative",Phthalides and flavonoids modulate inflammation and vascular tone,"Hypertension, arthritis, indigestion","Photosensitivity, allergic reaction","Kidney disease, pregnancy","Diuretics, sedatives",Low to moderate,Legal,"Juice, seed extract, food",1–2 hours,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3042774/,"Phthalides, apiin, limonene",apium graveolens
Aquilegia vulgaris,Aquilegia vulgaris L.,Europe,Columbine; toxic if ingested but used in folk medicine with extreme caution.,"Diuretic, mild sedative (folk use)",Not well defined; contains toxic alkaloids,"Folk use for skin, urinary conditions","Toxicity: nausea, vomiting, heart issues",All internal use,Unknown,High,Not recommended internally,Historically: infusion (external use today),Not applicable,Strongly toxic internally,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9236835/,"Cyanogenic glycosides, aquilegine",aquilegia vulgaris
Arctium lappa,Arctium lappa L.,"Europe, Asia, North America","Burdock root; detox herb used for skin, liver, and digestion.","Detoxifying, diuretic, antimicrobial",Lignans and inulin modulate immunity and support GI flora,"Eczema, acne, arthritis, indigestion",Rare allergic reactions,"Pregnancy, diabetes (due to hypoglycemia risk)","Diuretics, hypoglycemics",Low,Legal,"Decoction, tincture, food",30–90 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4697025/,"Inulin, arctigenin, polyphenols",arctium lappa
Argyreia nervosa,Argyreia nervosa (Burm.f.) Bojer,"India, Hawaii","Known as Hawaiian baby woodrose, the seeds contain LSA and are used for visionary experiences.","Hallucinations, nausea, dream enhancement",LSA (ergine) interacts with serotonin receptors,"Spiritual use, introspection","Nausea, vasoconstriction, lethargy","Cardiac conditions, pregnancy","MAOIs, serotonergic drugs",Moderate; cyanogenic glycosides present in seed coating,Legal (seeds); psychoactive use not approved,"Cold water extraction, chewed raw (riskier)",30–90 minutes,Moderate to strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6281165/,"LSA (ergine), isoergine, lysergol",argyreia nervosa
Aristolochia grandiflora,Aristolochia grandiflora Sw.,"Central America, Caribbean",Dramatic flower used in folk medicine and ritual contexts; contains potent and toxic alkaloids.,"Visions, nausea, altered state (reported), nephrotoxic",Aristolochic acids disrupt cellular replication and may act neurotoxically,"Traditionally used for childbirth, snakebites, and shamanic purposes","Kidney damage, vomiting, potential carcinogenicity",All internal use discouraged,Nephrotoxic agents,High,Restricted/banned in many regions,Historically boiled or macerated,Rapid,Strong and hazardous,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7748336/,Aristolochic acids I and II,aristolochia grandiflora
Aristolochia indica,Aristolochia indica L.,"India, Sri Lanka, Southeast Asia","Used in Vedic and Tantric traditions for divination and altered states, despite nephrotoxic risks.","Visions, dizziness, altered state",Aristolochic acids – genotoxic nephrotoxins affecting DNA and kidneys,Used for fevers and snake bites historically,"Nephropathy, hallucinations, nausea",All internal use discouraged,Nephrotoxic drugs,Very high,Banned/restricted in many countries,Rare ceremonial external use now,Varies,Strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3674164/,Aristolochic acid I & II,aristolochia indica
Armoracia rusticana,"Armoracia rusticana G. Gaertn., B. Mey. & Scherb.","Europe, cultivated worldwide",Horseradish; pungent root used for respiratory conditions and digestion.,"Expectorant, antimicrobial, stimulant",Glucosinolates convert to isothiocyanates with antimicrobial and mucosal stimulant effects,"Sinusitis, bronchitis, indigestion","GI irritation, excessive salivation","Gastritis, ulcers, kidney disease","Diuretics, anticoagulants",Low (high doses may irritate mucosa),Legal,"Fresh grated root, syrup, tincture",30–60 minutes,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5703762/,"Sinigrin, allyl isothiocyanate, flavonoids",armoracia rusticana
Arnica montana,Arnica montana L.,"Europe, Central Asia",Topical herb for bruises and sprains; known for anti-inflammatory effects.,"Anti-inflammatory, analgesic, antimicrobial",Helenalin inhibits NF-κB and cytokine expression,"Bruises, sprains, pain relief","Skin irritation, allergic reaction (topical); toxic internally","Broken skin, internal use",Anticoagulants,High (if ingested),Legal for topical/homeopathic use,"Cream, gel, homeopathic pellets",20–40 minutes,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3044190/,"Helenalin, flavonoids",arnica montana
Artemisia absinthium,Artemisia absinthium L.,"Europe, Asia, North Africa",Wormwood; historically used in absinthe and for GI conditions.,"Bitter tonic, anthelmintic, stimulant",Thujone acts on GABA receptors; sesquiterpenes are antimicrobial,"Indigestion, parasites, liver tonic","Neurotoxicity, seizures (high dose)","Pregnancy, epilepsy","Anticonvulsants, CNS stimulants",Moderate to high (thujone),Regulated in some countries,"Tea, tincture, capsule",30–60 minutes,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7045492/,"Thujone, absinthin, flavonoids",artemisia absinthium
Artemisia annua,Artemisia annua L.,"China, cultivated worldwide","Sweet wormwood; source of artemisinin, a powerful antimalarial.","Antimalarial, antiviral, antioxidant",Artemisinin forms free radicals in malaria parasite vacuoles,"Malaria, viral infections, inflammation","GI discomfort, hepatotoxicity (rare)","Pregnancy (caution), liver disease",CYP450-metabolized drugs,Low to moderate,Legal (WHO approved for malaria),"Capsule, tea, extract",1–3 hours,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10221782/,"Artemisinin, flavonoids, coumarins",artemisia annua
Artemisia tilesii,Artemisia tilesii Ledeb.,"Alaska, Siberia",Used by native Alaskans as a stimulant and for divination.,"Mental stimulation, mild hallucinations (traditional use)",Volatile oils influence neural excitability,"Fatigue, infection, spiritual insight","Headache, dry mouth (in excess)","Pregnancy, epilepsy",Unknown,Low to moderate,Legal,"Infusion, smoke",15–30 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8923921/,"Thujone, camphor, artemisinin analogs",artemisia tilesii
Artemisia vulgaris,Artemisia vulgaris L.,"Europe, Asia, North America","Mugwort; traditional use in digestion, menstruation, and dreaming.","Digestive aid, nervine, emmenagogue","Volatile oils stimulate digestion, nervine pathways","Indigestion, menstrual disorders, insomnia","Allergy (ragweed family), uterine stimulation","Pregnancy, allergy to Asteraceae","Sedatives, hormonal drugs",Low to moderate,Legal,"Infusion, smoke, tincture",30–60 minutes,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7702590/,"Volatile oils (cineole, thujone), flavonoids",artemisia vulgaris
Arundo donax,Arundo donax L.,"Mediterranean, Southern US, Asia",Giant reed; minor traditional uses as diuretic and fever reducer.,"Diuretic, febrifuge",Little studied; silica and alkaloids involved,"Urinary support, fever (folk use)",Not well established,Unknown,Unknown,Low,Legal,"Decoction, infusion",Unknown,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6073405/,"Silica, alkaloids, steroids",arundo donax
Asarum canadense,Asarum canadense L.,Eastern North America,"Wild ginger; used historically for digestive issues and flavoring, now limited due to toxicity.","Carminative, aromatic, expectorant",Essential oils stimulate GI secretions,"Indigestion, colds (historical use)",Potentially toxic; contains aristolochic acid,"Pregnancy, kidney disease",Unknown,High (long-term use),Regulated in some countries,Infusion (not recommended internally today),30–60 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7462054/,"Aristolochic acid, volatile oils",asarum canadense
Asclepias tuberosa,Asclepias tuberosa L.,North America,Pleurisy root; used for lung and chest congestion by Native Americans.,"Expectorant, antispasmodic, diaphoretic",Glycosides and resins promote mucus expulsion and reduce bronchial spasm,"Bronchitis, pleurisy, cough","GI upset, arrhythmia (high dose)","Pregnancy, heart conditions",Cardiac glycosides,Moderate,Legal,"Decoction, tincture",30–90 minutes,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9764706/,"Asclepiadin, flavonoids",asclepias tuberosa
Asparagus racemosus,Asparagus racemosus Willd.,"India, Himalayas",Shatavari; primary Ayurvedic herb for female reproductive and digestive support.,"Adaptogen, galactagogue, demulcent",Steroidal saponins and mucilage balance hormones and soothe tissues,"Infertility, menopause, ulcers",GI discomfort (rare),None established,Diuretics (potentiation),Low,Legal,"Powder, decoction, capsule",1–3 days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3249903/,"Shatavarins, saponins, alkaloids",asparagus racemosus
Aspidosperma quebracho-blanco,Aspidosperma quebracho-blanco Schltdl.,"South America (Argentina, Paraguay, Bolivia)",Traditional stimulant and aphrodisiac; alkaloids with potential CNS effects.,"Stimulation, possible hallucinations at high doses",Aspidospermine modulates adrenergic and serotonergic systems,"Impotence, fatigue, respiratory issues","Palpitations, agitation","Cardiovascular disease, anxiety disorders","Stimulants, MAOIs",Moderate,Legal,"Bark decoction, tincture",45–60 min,Mild to moderate,https://pubmed.ncbi.nlm.nih.gov/16929341/,"Aspidospermine, quebrachine",aspidosperma quebracho-blanco
Astragalus membranaceus,Astragalus membranaceus (Fisch.) Bunge,"China, Mongolia",Huang Qi; adaptogenic root used in TCM to support immunity and vitality.,"Immunostimulant, adaptogen, anti-inflammatory",Polysaccharides and saponins modulate cytokines and T-cell activity,"Fatigue, infection recovery, immune enhancement",Rare allergy or GI upset,Autoimmune disorders (caution),Immunosuppressants,Low,Legal,"Decoction, capsule, extract",1–3 days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7082403/,"Astragalosides, polysaccharides, flavonoids",astragalus membranaceus
Atropa belladonna,Atropa belladonna L.,"Europe, North Africa, Western Asia",Deadly nightshade; potent alkaloid-rich plant used in small doses for spasmodic disorders.,"Anticholinergic, sedative, antispasmodic","Blocks muscarinic acetylcholine receptors via atropine, scopolamine","Parkinson’s, motion sickness, GI spasms (in pharmaceuticals)","Dry mouth, blurred vision, hallucinations, toxicity","Glaucoma, tachycardia, pregnancy","Antihistamines, MAOIs, anticholinergics",High,Controlled; regulated pharmaceuticals,"Standardized extract, homeopathy",15–30 minutes,High,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3834499/,"Atropine, scopolamine, hyoscyamine",atropa belladonna
Avena sativa,Avena sativa L.,Temperate regions worldwide,"Oats; used nutritionally and medicinally for skin, mood, and cholesterol balance.","Nutrient-rich, anxiolytic, emollient",Beta-glucans reduce cholesterol; avenanthramides soothe inflammation,"Anxiety, high cholesterol, eczema",Rare; possible gluten cross-reactivity,Celiac disease (contamination risk),"Statins (synergistic), diabetes meds",Low,Legal,"Food, tea, extract, bath",1–3 days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4325078/,"Beta-glucans, saponins, avenanthramides",avena sativa
Azadirachta indica,Azadirachta indica A. Juss.,"India, Southeast Asia, Africa",Neem; powerful antimicrobial and anti-inflammatory herb from Ayurvedic medicine.,"Antibacterial, antifungal, antiparasitic",Limonoids inhibit microbial growth and inflammatory pathways,"Skin disease, malaria, oral hygiene, ulcers","GI upset, liver stress (long use)","Pregnancy, autoimmune disease","Immunosuppressants, diabetes drugs",Moderate,Legal,"Oil, leaf extract, paste, capsule",Several days,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4791507/,"Azadirachtin, nimbin, nimbidin",azadirachta indica
Bacopa monnieri,Bacopa monnieri (L.) Pennell,"India, Australia, wet tropical regions",Brahmi; Ayurvedic herb used for cognitive enhancement and stress relief.,"Nootropic, adaptogen, anxiolytic",Bacosides enhance synaptic activity and antioxidant protection in the brain,"Memory, anxiety, epilepsy support","GI upset, fatigue, nausea","Pregnancy, thyroid disorders","Sedatives, thyroid meds",Low to moderate,Legal,"Capsule, extract, tea",1–2 weeks,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3746283/,"Bacosides, alkaloids, saponins",bacopa monnieri
