id,common,scientific,category,intensity,region,legalstatus,description,effects,mechanismofaction,compound,tags,interactions,contraindications,dosage,therapeutic,safety,sideeffects,toxicity,toxicity_ld50,is_controlled_substance,sources
aegle-marmelos,,Aegle marmelos,digestive / mild sedative,Unknown,south asia,Legal,bael tree used in ayurvedic medicine for digestion and calm,calm;digestive relief,Coumarins like marmelosin exhibit mild sedative and GI effects,Marmelosin,🌿 ayurveda;🍈 fruit,none significant,severe gi obstruction,5-10 g dried fruit,digestive tonic,,constipation in high amounts,Low,Not established,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4027290/;Indian Journal of Traditional Knowledge, 2009;Ayurvedic Pharmacopoeia of India"
african-dream-root,,Silene capensis,oneirogen,Mild to moderate,south africa,Legal,a sacred dream-enhancing root used by the xhosa people of south africa to induce powerful and meaningful dreams.,Vivid dreams;lucidity;spiritual connection,Likely saponins and triterpenoids affecting sleep cycles,,✅ safe;🌙 dream;🧘 ancestral,unknown,none well established,,"dream recall, ancestral communication (traditional)",,mild nausea or grogginess if overdosed,Low,Not established,false,"https://erowid.org/plants/silene_capensis/;Dreaming Plant Guide – Ratsch;Journal of Ethnopharmacology, 2008"
albizia-julibrissin,,Albizia julibrissin,calming / mood,Mild,"native to asia, cultivated elsewhere",Legal,often called persian silk tree; valued in asian herbalism for its tranquil and mood-brightening properties.,uplifted mood;relaxation;mild sedation,Contains saponins and flavonoids thought to modulate serotonin and GABA,,tcm;anxiolytic;flower,may enhance other sedatives or antidepressants,"none known, though caution with sedatives",,traditional chinese medicine uses the bark and flowers as a calming antidepressant,,rare drowsiness in sensitive individuals,Low,Not well established,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6834330/;Chinese Herbal Medicine: Materia Medica, 3rd ed.;Journal of Ethnopharmacology, 2009"
alchornea-castaneifolia,Iporuru,Alchornea castaneifolia,ritual / visionary,Mild,amazon basin,Legal,used in amazonian shamanic rituals for its spiritual and anti-inflammatory effects. often included in ayahuasca blends.,Anti-inflammatory;spiritual clarity;energetic cleansing,Unknown; may involve tannins and flavonoids,Alchorneine,✅ safe;🌿 amazon;🧘 cleanse,unknown,pregnancy,,"rheumatism, arthritis, spiritual cleansing",,minimal; bitter taste,Low,Not established,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4127826/;Rainforest Healing Herb Profiles;Journal of Ethnopharmacology, 2007"
aloysia-citrodora,,Aloysia citrodora,ethnobotanical,unknown,south america,Unknown,"lemon verbena, a gentle herbal tea with calming and mood-lifting effects.",calm;relaxation;light euphoria,GABAergic + serotonergic,Citral;Verbascoside,tea;folk remedy;calming,none,none,,none,,none,,,false,
alpinia-galanga,,Alpinia galanga,stimulant,Mild,"indonesia, thailand, malaysia",Legal,a common culinary spice known as galangal that offers gentle stimulation and a warming effect.,warm stimulation;mild euphoria;enhanced circulation,Contains eugenol and cineole that increase circulation and mild CNS stimulation,,aromatic;galangal;spice,may alter absorption of other stimulants or anticoagulants,"gastric ulcers, anticoagulant medication",,used in southeast asian medicine for digestion and fatigue,,heartburn or mild agitation at high doses,Generally safe as a culinary spice,>3 g/kg in rodents,false,https://pubmed.ncbi.nlm.nih.gov/20428007/;Phytomedicine. 2005;Ayurvedic Materia Medica
althaea-officinalis,,Althaea officinalis,demulcent / soothing / respiratory,Mild,"europe, middle east, north america",Legal worldwide,"a classic mucilaginous herb known for its thick, slippery root extract. marshmallow has been used for centuries to coat and soothe mucous membranes, especially in the respiratory and digestive tracts.",Soothes throat;Eases cough;Reduces inflammation;Digestive calm,"High mucilage content coats inflamed tissues, reducing irritation and inflammation. Also mildly antibacterial and immunomodulatory.",,🫖 soothing;🫁 throat;🩹 demulcent;🌿 digestive,may delay absorption of oral drugs.,take medications 1–2 hrs apart. avoid if allergic to other mucilaginous herbs.,,"used for sore throat, dry cough, gerd, stomach ulcers, and irritated urinary tract. also applied externally to wounds.",,very rare. may slow absorption of medications if taken simultaneously.,Extremely low.,">5000 mg/kg (rats, oral)",false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5452227/;British Herbal Compendium;Herbal Medicine – Mills & Bone
Unknown,,Amanita muscaria,ritual / visionary,Moderate to strong,"northern hemisphere, boreal forests",Legal in most countries,iconic red-capped mushroom used in siberian shamanism and folklore. psychoactive when properly prepared.,Euphoria;dissociation;dreamlike state,Ibotenic acid and muscimol act as GABA agonists and NMDA antagonists after decarboxylation.,Muscimol;Ibotenic Acid,⚠️ caution;🍄 mushroom,potentiates sedatives and alcohol,avoid with sedatives or psychiatric conditions.,,"shamanic ritual, historical analgesic and sedative use.",,"nausea, ataxia, delirium","Can cause nausea, delirium, or poisoning if dose is high or raw mushrooms consumed.","LD50 ~38 mg/kg (muscimol, mice)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10454585/;Erowid Amanita Vault;Journal of Ethnopharmacology, 2008;Toxicological Profile: Muscimol & Ibotenic Acid (NIH)"
Unknown,,Amanita pantherina,deliriant / sedative,Strong,northern hemisphere,Varies; unscheduled in many countries,unknown,sedation;confusion;dizziness,Contains muscimol and ibotenic acid acting on GABA receptors,,muscimol;mushroom;panther cap,enhances effects of alcohol and sedatives,"mental illness, combining with other depressants",,traditional siberian shamanic use; rarely employed medically,,"nausea, loss of coordination, delirium",Potentially toxic at high doses,Not well established,false,
panax-quinquefolius,,Panax quinquefolius,empathogen / euphoriant,Unknown,north america,Legal,north american species prized for restorative effects.,calm energy,Similar ginsenosides modulate neurotransmitters,,🌿 root;💊 oral,"stimulants, anticoagulants",hypertension,1–3 g dried root,"energy, stress relief",,"headache, insomnia",Low,>2000 mg/kg (rats),false,
amorpha-fruticosa,,Amorpha fruticosa,ethnobotanical,unknown,north america,Unknown,"false indigo bush, native to north america, was historically smoked for relaxation and vision-induction.",relaxation;mental softening;trance,Likely GABAergic,Amorphigenin,folk;smokable;visionary,none,none,,none,,none,,,false,
anadenanthera-colubrina,,Anadenanthera colubrina,psychedelic / entheogen,High,"amazon basin, andean regions of peru, brazil, colombia, venezuela",Bufotenine is Schedule I in the USA. Tree/seeds legal in some regions.,"a south american tree whose seeds are used to make yopo, a potent psychoactive snuff. used ritually by indigenous tribes for divination and healing.",Visual hallucinations;Disorientation;Euphoria;Auditory shifts;Dissociation,"Contains bufotenine (5-HO-DMT), DMT, and 5-MeO-DMT. Acts as a serotonergic agonist (5-HT2A, 5-HT1A), with bufotenine producing strong visual and somatic effects when insufflated.",Bufotenine,🌿 entheogen;🌬️ snuff;🌀 yopo;⛔ maoi warning,dangerous with maois. may cause serotonin overload when mixed with ssris or other psychedelics.,"avoid if prone to heart issues, anxiety, asthma, or psychiatric disorders.",,"used traditionally for cleansing, communication with spirits, and insight. no clinical approval.",,"strong bodily discomfort, intense visual distortions, nausea, cardiovascular strain, and panic are common.",High doses of bufotenine can cause respiratory distress. Seeds contain toxic compounds if improperly prepared.,"Bufotenine: ~200–300 mg/kg (mice, oral)",false,"https://erowid.org/plants/anadenanthera/;PubMed ID: 12065154;Journal of Ethnopharmacology, 1994;TiHKAL by Alexander Shulgin"
anadenanthera-colubrina,,Anadenanthera colubrina,psychedelic / entheogen,High,"amazon basin, andean regions of peru, brazil, colombia, venezuela",Bufotenine is Schedule I in the USA. Tree/seeds legal in some regions.,"a south american tree whose seeds are used to make yopo, a potent psychoactive snuff. used ritually by indigenous tribes for divination and healing.",Visual hallucinations;Disorientation;Euphoria;Auditory shifts;Dissociation,"Contains bufotenine (5-HO-DMT), DMT, and 5-MeO-DMT. Acts as a serotonergic agonist (5-HT2A, 5-HT1A), with bufotenine producing strong visual and somatic effects when insufflated.",Bufotenine,🌿 entheogen;🌬️ snuff;🌀 yopo;⛔ maoi warning,dangerous with maois. may cause serotonin overload when mixed with ssris or other psychedelics.,"avoid if prone to heart issues, anxiety, asthma, or psychiatric disorders.",,"used traditionally for cleansing, communication with spirits, and insight. no clinical approval.",,"strong bodily discomfort, intense visual distortions, nausea, cardiovascular strain, and panic are common.",High doses of bufotenine can cause respiratory distress. Seeds contain toxic compounds if improperly prepared.,"Bufotenine: ~200–300 mg/kg (mice, oral)",false,"https://erowid.org/plants/anadenanthera/;PubMed ID: 12065154;Journal of Ethnopharmacology, 1994;TiHKAL by Alexander Shulgin"
anadenanthera-colubrina-cebl,,,ethnobotanical / rare,High,🌎 unknown / global,Restricted in many regions,south american tree whose snuffable seeds contain bufotenin.,Entheogenic snuff;alternate reality feel,"Bufotenin acts as a potent and non-selective serotonin receptor agonist at 5-HT₁A, 5-HT₂A, 5-HT₂C, and 5-HT₃ receptors, and serves as a specific serotonin releasing agent [1, 0].",,\u26a0\ufe0f restricted,"concomitant use with ssris or maois may risk serotonin syndrome [1, 0].","cardiovascular disorders, psychiatric conditions, and pregnancy.",,"traditionally used as a snuff for visionary and divinatory rituals in south american cultures [1, 1].",1,"prominent cardiovascular changes, nausea, vomiting, and dizziness [1, 0, 1, 1].","No documented human LD50; rodent LD50 approximately 200–300 mg/kg (intraperitoneal) [1, 0].","No documented human LD50; rodent LD50 approximately 200–300 mg/kg (intraperitoneal) [1, 0].",false,
anadenanthera-colubrina-cebl,,Unknown,ethnobotanical / rare,High,🌎 unknown / global,Restricted in many regions,south american tree whose snuffable seeds contain bufotenin.,Entheogenic snuff;alternate reality feel,"Bufotenin acts as a potent and non-selective serotonin receptor agonist at 5-HT₁A, 5-HT₂A, 5-HT₂C, and 5-HT₃ receptors, and serves as a specific serotonin releasing agent [1, 0].",,⚠️ restricted,"concomitant use with ssris or maois may risk serotonin syndrome [1, 0].","cardiovascular disorders, psychiatric conditions, and pregnancy.",,"traditionally used as a snuff for visionary and divinatory rituals in south american cultures [1, 1].",,"prominent cardiovascular changes, nausea, vomiting, and dizziness [1, 0, 1, 1].","No documented human LD50; rodent LD50 approximately 200–300 mg/kg (intraperitoneal) [1, 0].","No documented human LD50; rodent LD50 approximately 200–300 mg/kg (intraperitoneal) [1, 0].",false,
anadenanthera-peregrina,,Anadenanthera peregrina,psychedelic / entheogen,Very high,"venezuela, brazil, caribbean, northern south america",Bufotenine is Schedule I in the U.S.; plant materials legal in some countries.,"closely related to a. colubrina, this species is the primary source of cohoba snuff used by taino and other caribbean-amazonian tribes. extremely potent and short-acting.",Intense visuals;Out-of-body experience;Altered time perception;Spiritual insight,Bufotenine (5-HO-DMT) is the dominant active; acts on 5-HT2A and 5-HT1A receptors. May also contain trace DMT and 5-MeO-DMT. Insufflated use bypasses first-pass metabolism.,Bufotenine,🌬️ snuff;🌀 visionary;🔥 roasted seed;⛔ controlled,"unsafe with maois, ssris, or other tryptamines. potential for serotonin syndrome.","avoid with heart conditions, asthma, or psychiatric disorders. not for individuals with seizure history.",,"traditionally used for healing, communication with spirits, and divination. no modern clinical uses.",,"coughing, burning in nose/throat, vomiting, disorientation. can be frightening or overwhelming.",Potentially toxic in high doses; bufotenine linked to pulmonary effects and vasoconstriction.,"Bufotenine: 200–300 mg/kg (mice, oral)",false,"https://erowid.org/plants/anadenanthera_peregrina/;Ratsch: The Encyclopedia of Psychoactive Plants;Journal of Psychoactive Drugs, 1986"
anadenanthera-peregrina,,Anadenanthera peregrina,psychedelic / entheogen,Very high,"venezuela, brazil, caribbean, northern south america",Bufotenine is Schedule I in the U.S.; plant materials legal in some countries.,"closely related to a. colubrina, this species is the primary source of cohoba snuff used by taino and other caribbean-amazonian tribes. extremely potent and short-acting.",Intense visuals;Out-of-body experience;Altered time perception;Spiritual insight,Bufotenine (5-HO-DMT) is the dominant active; acts on 5-HT2A and 5-HT1A receptors. May also contain trace DMT and 5-MeO-DMT. Insufflated use bypasses first-pass metabolism.,Bufotenine,🌬️ snuff;🌀 visionary;🔥 roasted seed;⛔ controlled,"unsafe with maois, ssris, or other tryptamines. potential for serotonin syndrome.","avoid with heart conditions, asthma, or psychiatric disorders. not for individuals with seizure history.",,"traditionally used for healing, communication with spirits, and divination. no modern clinical uses.",,"coughing, burning in nose/throat, vomiting, disorientation. can be frightening or overwhelming.",Potentially toxic in high doses; bufotenine linked to pulmonary effects and vasoconstriction.,"Bufotenine: 200–300 mg/kg (mice, oral)",false,"https://erowid.org/plants/anadenanthera_peregrina/;Ratsch: The Encyclopedia of Psychoactive Plants;Journal of Psychoactive Drugs, 1986"
anemone-pulsatilla,,Pulsatilla vulgaris,sedative / analgesic,Mild,europe and western asia,Legal but not widely sold,also called pasque flower; once used by herbalists for calming nerves and relieving pain.,calm;pain relief;mild altered awareness,Contains lactones derived from protoanemonin that depress the central nervous system,,anodyne;folk;sedative,may potentiate other sedatives or analgesics,"pregnancy, open wounds, large doses",,"european folk remedy for anxiety, insomnia and menstrual pain",,"nausea, stomach irritation if taken fresh",Fresh plant is irritant and toxic until dried,Not well established,false,
aquilaria-malaccensis,,Aquilaria malaccensis,calming / aromatic,Mild,southeast asia,Cultivation regulated due to overharvesting but use is legal,"source of precious agarwood resin, producing a soothing aroma and subtle psychoactive calm when burned.",tranquil mind;subtle euphoria;aromatic relaxation,Resin rich in sesquiterpenes acts via GABAergic and dopaminergic pathways when inhaled,,agarwood;incense;sedative,unknown; likely minimal,respiratory issues when inhaled heavily,,used in traditional asian medicine and incense for calming and meditation,,mild headache if smoke inhaled in excess,Considered safe in incense amounts,Not established,false,
arctostaphylos-uva-ursi,,Arctostaphylos uva-ursi,urinary / antiseptic / astringent,Mild–Moderate,northern hemisphere (cool climates),Legal worldwide,"a low-growing evergreen shrub used traditionally for urinary tract infections and kidney health. its leaves contain arbutin, which converts to hydroquinone in the bladder and acts as a urinary antiseptic.",Urinary tract support;Astringent;Anti-inflammatory;Antibacterial,"Arbutin is hydrolyzed into hydroquinone in the urinary tract, which exerts antimicrobial activity. Tannins also provide astringent effects to mucous membranes.",,🧴 antiseptic;🧽 astringent;🧠 urinary;🌿 traditional,"may interact with diuretics, nsaids, or acidic drugs. requires alkaline urine for efficacy.","avoid during pregnancy, in children, or for long-term use. not with kidney disease.",,"used for cystitis, urethritis, bladder infections, and general urinary tract irritation. often used in short-term protocols.",,mild nausea or gi discomfort. prolonged use may irritate the liver or kidneys due to hydroquinone.,Low to moderate. Hydroquinone may be toxic in high doses or long-term use.,"Hydroquinone ~300 mg/kg (rat, oral)",false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204622/;Herbal Medicine – Mills & Bone;ESCOP Monographs
argemone-mexicana,,Argemone mexicana,sedative / analgesic,Moderate,native to tropical america; naturalized worldwide,Legal but sometimes regulated due to toxicity,spiny yellow poppy whose milky latex was historically used for pain relief and sedation.,relaxation;analgesia;slight euphoria,Isoquinoline alkaloids interact with opioid and dopamine receptors,,alkaloid;folk medicine;poppy,avoid combining with alcohol or other depressants,"liver disorders, pregnancy, high doses",,"mexican and ayurvedic traditions use it for pain, insomnia and mild narcotic effects",,"headache, stomach upset, potential liver damage",Seeds and latex can be hepatotoxic in high doses,Not well quantified,false,
argyreia-nervosa,Hawaiian baby woodrose,Argyreia nervosa,psychedelic / ergolines,Moderate,"india, hawaii, tropical regions",Legal to possess in most countries; LSA may be restricted.,"a climbing vine native to india and widely cultivated in hawaii. its seeds contain lsa (lysergic acid amide), a naturally occurring psychedelic related to lsd.",Euphoria;Time distortion;Closed-eye visuals;Body heaviness;Drowsiness,"LSA (ergine) is a serotonergic compound acting primarily as a partial agonist at 5-HT2A receptors, similar to LSD but with more sedative effects.",LSA (lysergic acid amide),🌱 seed;🌀 lsa;🌙 sedative-psychedelic,"avoid combining with stimulants, maois, ssris, or vasoconstrictive drugs.","not recommended for people with cardiovascular, liver, or psychiatric conditions. avoid during pregnancy.",,historically used in ayurveda for nervine and aphrodisiac properties. psychedelic use is experimental only.,,"strong nausea, vasoconstriction, lethargy, and confusion are common. may cause dizziness and chills.",Mild to moderate; effects mostly unpleasant rather than dangerous. Improper preparation increases risk.,Unknown (ergine considered relatively low in acute toxicity),false,"https://erowid.org/plants/hbw/;TiHKAL by Alexander Shulgin;Journal of Ethnopharmacology, 1996"
argyreia-speciosa,,Argyreia speciosa,ritual / visionary,Moderate to Strong,india and southeast asia,Seeds legal though extraction of LSA may be restricted,close relative of hawaiian baby woodrose with lsa‑containing seeds used in some indian traditions.,closed-eye visuals;euphoria;enhanced introspection,Seeds contain lysergic acid amide (LSA) acting on serotonin receptors,,indian morning glory;lsa;seeds,avoid with other serotonergic agents,"pregnancy, mental health disorders",,occasionally used in ayurveda as a tonic and for spiritual rituals,,"nausea, vasoconstriction, drowsiness",Nausea common; large doses may be hepatotoxic,Not established,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3880486/;Ayurvedic Pharmacopoeia of India;Journal of Ethnopharmacology, 2001"
artemisia-abrotanum,,Artemisia abrotanum,ethnobotanical,unknown,"mediterranean, europe",Unknown,"southernwood is a fragrant herb used traditionally as a stimulant, memory aid, and dream enhancer.",mental clarity;dream enhancement;stimulant,GABAergic + cholinergic modulation,Camphor;Thujone,aromatic;folk remedy;uplifting,none,none,,none,,none,,,false,
artemisia-absinthium,Wormwood,Artemisia absinthium,deliriant / digestive bitter,Mild–Moderate,"europe, north africa, western asia",Thujone content regulated in beverages (e.g. EU and US); plant itself legal,"a bitter herb best known as the flavoring in traditional absinthe. contains thujone, a gaba receptor antagonist that can cause excitatory and convulsive effects in high doses.",Euphoria;Mild hallucinations;Stimulation;Appetite stimulant,"Thujone is a GABA-A antagonist, reducing inhibitory signaling in the brain. At high doses, this may induce seizures or hallucinations. Also contains bitter principles that stimulate digestion.",Thujone,🍸 absinthium;⚠️ neurotoxic;🌿 bitter tonic;🧠 gaba-antagonist,"may reduce effectiveness of anticonvulsants. dangerous with gabaergic drugs, alcohol, or stimulants.","avoid in epilepsy, pregnancy, kidney disease, and with cns stimulants. use caution with antidepressants or alcohol.",,"used as a bitter tonic for digestion, appetite stimulation, and historically as an anthelmintic. occasionally explored for mood elevation in aromatherapy.",,"nausea, dizziness, vomiting, neurotoxicity at high doses. prolonged use may irritate kidneys and liver.","High doses or chronic use may lead to tremors, seizures, and neurotoxicity ('absinthism').","Thujone: ~87.5 mg/kg (rats, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3265070/;Herbal Medicine: Biomolecular and Clinical Aspects, 2nd ed.;Journal of Ethnopharmacology, 2003"
artemisia-absinthium,Wormwood,Artemisia absinthium,deliriant / digestive bitter,Mild–Moderate,"europe, north africa, western asia",Thujone content regulated in beverages (e.g. EU and US); plant itself legal,"a bitter herb best known as the flavoring in traditional absinthe. contains thujone, a gaba receptor antagonist that can cause excitatory and convulsive effects in high doses.",Euphoria;Mild hallucinations;Stimulation;Appetite stimulant,"Thujone is a GABA-A antagonist, reducing inhibitory signaling in the brain. At high doses, this may induce seizures or hallucinations. Also contains bitter principles that stimulate digestion.",Thujone,🍸 absinthium;⚠️ neurotoxic;🌿 bitter tonic;🧠 gaba-antagonist,"may reduce effectiveness of anticonvulsants. dangerous with gabaergic drugs, alcohol, or stimulants.","avoid in epilepsy, pregnancy, kidney disease, and with cns stimulants. use caution with antidepressants or alcohol.",,"used as a bitter tonic for digestion, appetite stimulation, and historically as an anthelmintic. occasionally explored for mood elevation in aromatherapy.",,"nausea, dizziness, vomiting, neurotoxicity at high doses. prolonged use may irritate kidneys and liver.","High doses or chronic use may lead to tremors, seizures, and neurotoxicity ('absinthism').","Thujone: ~87.5 mg/kg (rats, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3265070/;Herbal Medicine: Biomolecular and Clinical Aspects, 2nd ed.;Journal of Ethnopharmacology, 2003"
artemisia-ludoviciana,,Artemisia ludoviciana,ethnobotanical,unknown,north america,Unknown,"also known as white sagebrush, used by native american tribes for cleansing, dreams, and mild sedation.",mild sedation;visionary;cleansing,GABAergic + anticholinergic,Thujone;Camphor,ritual;dream;folk medicine,none,none,,none,,none,,,false,
artemisia-vulgaris,,Artemisia vulgaris,dream herb / digestive / traditional witchcraft,Mild–Moderate,"europe, north america, asia",Legal worldwide (restricted in some for thujone),"a classic european herb of the witches and dreamers. mugwort is used for enhancing dreams, calming digestion, and connecting to inner visions. often burned or used in dream pillows or teas.",Lucid dreaming;Menstrual regulation;Mild sedation;Bitter tonic,"Contains thujone, camphor, and cineole — which mildly affect GABA receptors and CNS function. Also acts as a bitter digestive and mild uterine tonic.",,🌙 dream herb;🩸 menstrual;🫖 bitter tonic;🔥 ritual,"may interact with sedatives, antiepileptics, or other bitter herbs.",avoid during pregnancy. caution with epilepsy or thujone sensitivity.,,"used for dreamwork, menstruation regulation, cramping, bloating, and spiritual practices.",,may cause nausea or dizziness. thujone-related toxicity at high doses or in essential oil form.,Low at traditional use levels. Essential oil is toxic if ingested.,"~120 mg/kg (thujone, rats)",false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5313054/;Plants of the Gods – Rätsch;British Herbal Pharmacopoeia
mugwort,,,oneirogen,Mild,🇪🇺 europe,Legal / Unregulated,aromatic herb smoked or sipped to enhance dreaming and soothe digestion.,Lucid dreams;astral travel,GABA modulation; possible cholinergic effects.,,\ud83c\udf2c\ufe0f smokable;\u2615 brewable;\ud83e\udde0 dream;\u2705 safe,"sedatives, anticoagulants.","pregnancy, ragweed allergy.",,"dream vividness, digestion, menstrual support.",1,"allergic reactions, nausea.",Contains thujone and other essential oils that are toxic in high doses.,Low toxicity; thujone content can be harmful in excess.,false,
